Year,Federal Funds Rate,Unemployment Rate,GDP,Inflation Rate,SP500
1975,3.87,8.1,1616.116,9.143146864965349,86.18122532056725
1976,5.37,7.9,1820.487,5.74481263549085,102.03529629311542
1977,4.17,7.5,1988.648,6.5016839947284,98.18186502608042
1978,6.53,6.4,2202.76,7.63096383885606,96.11396807716007
1979,10.84,5.9,2526.61,11.2544711292795,102.99905133153139
1980,14.77,6.3,2789.842,13.5492019749684,118.71011835030416
1981,22.0,7.5,3124.206,10.3347153402771,128.0379051841766
1982,13.13,8.6,3274.302,6.13142700027493,119.70573159922724
1983,11.2,10.4,3473.413,3.21243523316065,160.47312203509063
1984,9.92,8.0,3908.054,4.30053547523429,160.46355724711663
1985,8.74,7.3,4230.168,3.54564415209365,186.82817422775994
1986,13.46,6.7,4507.894,1.89804772234276,236.39047410082912
1987,14.35,6.6,4722.156,3.6645632175168994,286.99802377572644
1988,6.89,5.7,5073.372,4.07774110744413,265.88015813412875
1989,9.04,5.4,5511.253,4.82700303008944,323.05142853752017
1990,7.97,5.4,5872.701,5.39795643990325,334.6320559535573
1991,5.53,6.4,6035.178,4.23496396453849,376.1863238067024
1992,4.09,7.3,6363.102,3.02881967814969,415.74700795571636
1993,2.66,7.3,6729.459,2.95165696638559,451.6148210005327
1994,2.85,6.6,7115.652,2.60744159215453,460.416508023701
1995,4.94,5.6,7522.289,2.80541968853662,541.7190869043744
1996,4.73,5.6,7868.468,2.93120419993441,670.4948427695928
1997,6.26,5.3,8362.655,2.33768993730735,873.4277876902946
1998,5.84,4.6,8866.48,1.55227909874364,1085.5032527863034
1999,4.07,4.3,9411.682,2.18802719697358,1327.329567076668
2000,3.99,4.0,10002.179,3.37685727149929,1427.2210688515315
2001,5.41,4.2,10470.230999999998,2.8261711188540706,1194.1789944556451
2002,1.52,5.7,10783.5,1.58603162650601,993.934804038396
2003,1.16,5.8,11174.129,2.27009497336115,965.227539789109
2004,0.94,5.7,11923.447,2.67723669309172,1130.6494445800781
2005,1.97,5.3,12767.286,3.3927468454955,1207.2294432624938
2006,4.09,4.7,13599.16,3.22594410070404,1310.4612356239106
2007,5.17,4.6,14215.651,2.85267248150138,1477.18434222096
2008,3.06,5.0,14706.538,3.839100296651,1220.042055635113
2009,0.14,7.8,14430.902,-0.355546266299747,948.046387929765
2010,0.05,9.8,14764.61,1.6400434423899,1139.9655124724857
2011,0.13,9.1,15351.448,3.156841568622,1267.6388094463045
2012,0.04,8.3,16068.805,2.06933726526067,1379.3541596679688
2013,0.09,8.0,16648.189,1.46483265562717,1643.7989681183346
2014,0.07,6.6,17197.738,1.62222297740817,1931.3761097741506
2015,0.06,5.7,18063.529,0.118627135552451,2061.0677412729415
2016,0.2,4.8,18525.933,1.26158320570536,2094.6512640090214
2017,0.55,4.7,19280.084,2.13011000365961,2449.076379054096
2018,1.33,4.0,20328.553,2.44258329692817,2746.214183305839
2019,2.4,4.0,21111.6,1.81221007526021,2913.3563804020955
2020,1.55,3.6,21727.657,1.23358439630629,3217.855848953187
2021,0.09,6.4,22656.793,4.69785886363742,4273.385634649368
2022,0.07,4.0,25215.491,8.00279982052121,4098.514747650025
2023,4.33,3.4,27164.359,4.11633838374488,4283.729439453125
